MOVIES,GENRE
The Girl in the Spider's Web,"Action, Crime, Drama"
Kong: Skull Island,"Action, Adventure, Fantasy"
The Missing,"Crime, Drama, Mystery"
Hagane no renkinjutsushi,"Animation, Action, Adventure"
Altered Carbon,"Action, Drama, Sci-Fi"
Enterprise,"Action, Adventure, Drama"
Black Clover,"Animation, Action, Adventure"
Uncut Gems,"Crime, Drama, Thriller"
American Crime Story,"Biography, Crime, Drama"
Bloodline,"Drama, Thriller"
Revenge,"Drama, Mystery, Thriller"
The Revenant,"Action, Adventure, Drama"
Z Nation,"Action, Comedy, Drama"
Polar,"Action, Crime, Drama"
Kim's Convenience,Comedy
Grace and Frankie,Comedy
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama"
Love Is Blind,"Reality-TV, Romance"
Legally Blonde,"Comedy, Romance"
Jessica Jones,"Action, Crime, Drama"
Rust Creek,"Crime, Drama, Thriller"
American Vandal,"Comedy, Crime, Drama"
Cheers,"Comedy, Drama"
Ocean's Eight,"Action, Comedy, Crime"
America: The Motion Picture,"Animation, Action, Adventure"
That '70s Show,"Comedy, Romance"
Below Deck Mediterranean,Reality-TV
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy"
Sense8,"Drama, Mystery, Sci-Fi"
How to Become a Tyrant,"Documentary, Biography, History"
Dead to Me,"Comedy, Crime, Drama"
Narcos: México,"Crime, Drama"
2001: A Space Odyssey,"Adventure, Sci-Fi"
Adventure Time,"Animation, Action, Adventure"
Nanatsu no taizai,"Animation, Action, Adventure"
My Unorthodox Life,Reality-TV
Slasher,"Crime, Drama, Horror"
Anne,"Drama, Family"
The Tudors,"Drama, History, Romance"
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi"
Pose,Drama
Cider no yô ni kotoba ga wakiagaru,"Animation, Drama, Romance"
News of the World,"Action, Adventure, Drama"
Mother!,"Drama, Horror, Mystery"
Emily in Paris,"Comedy, Drama, Romance"
National Lampoon's Animal House,Comedy
The Affair,Drama
Honest Thief,"Action, Crime, Drama"
