MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,DIRECTOR
La cocinera de Castamar,2021,Drama,7.4,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias",1336,0,
Queen of the South,2016–2021,"Action, Crime, Drama",8.0,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón",23318,42,
CSI: Crime Scene Investigation,2000–2015,"Crime, Drama, Mystery",7.6,"Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda",78589,60,
The Umbrella Academy,2019– ,"Action, Adventure, Comedy",8.0,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman",175513,60,
Supergirl,2015–2021,"Action, Adventure, Drama",6.2,"Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks",115373,43,
BoJack Horseman,2014–2020,"Animation, Comedy, Drama",8.7,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",124318,25,
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,"Director:Peter Jackson| Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",1713028,178,
I Think You Should Leave with Tim Robinson,2019– ,Comedy,7.8,"Tim Robinson, Sam Richardson, Patti Harrison, Conner O'Malley",8095,16,
South Park,1997– ,"Animation, Comedy",8.7,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall",340148,22,
Once Upon a Time,2011–2018,"Adventure, Fantasy, Romance",7.7,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",212616,60,
Star Trek: Discovery,2017– ,"Action, Adventure, Drama",7.2,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",101079,60,
Teen Wolf,2011–2017,"Action, Drama, Fantasy",7.6,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby",132950,41,
How to Get Away with Murder,2014–2020,"Crime, Drama, Mystery",8.1,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",136135,43,
Star Trek: Deep Space Nine,1993–1999,"Action, Adventure, Drama",8.0,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig",55687,45,
Seinfeld,1989–1998,Comedy,8.8,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",264801,22,
Spartacus: Blood and Sand,2010–2013,"Action, Adventure, Biography",8.5,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",228484,55,
Hawaii Five-0,2010–2020,"Action, Crime, Drama",7.3,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim",68627,42,
Good Witch,2015–2021,"Comedy, Drama, Fantasy",7.3,"Catherine Bell, Catherine Disher, James Denton, Kylee Evans",8268,48,
The Sinner,2017– ,"Crime, Drama, Mystery",7.9,"Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel",96901,45,
Arrested Development,2003–2019,Comedy,8.7,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",284373,22,
Escape Room,I 2019,"Action, Adventure, Horror",6.4,"Director:Adam Robitel| Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine",99351,99,
You,2018– ,"Crime, Drama, Romance",7.7,"Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail",157666,45,
Mindhunter,2017–2019,"Crime, Drama, Thriller",8.6,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",235694,60,
Jaws,1975,"Adventure, Thriller",8.0,"Director:Steven Spielberg| Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",558731,124,
